year,education_allocation_ngn_billion,education_pct_of_budget,education_pct_of_gdp_wb,unesco_benchmark,benchmark_gap,funding_status
2015,483.2,10.75,0.40,15,4.25,Near Benchmark
2016,480.3,7.92,0.42,15,7.08,Below Benchmark
2017,448.4,6.03,0.36,15,8.97,Critical Underfunding
2018,651.2,7.14,0.36,15,7.86,Below Benchmark
2019,634.6,7.12,0.40,15,7.88,Below Benchmark
2020,607.0,5.78,0.35,15,9.22,Critical Underfunding
2021,771.5,5.9,0.32,15,9.1,Critical Underfunding
2022,923.8,5.39,0.31,15,9.61,Critical Underfunding
2023,1070.0,5.21,,15,9.79,Critical Underfunding
2024,1590.0,5.52,,15,9.48,Critical Underfunding
2025,2520.0,5.47,,15,9.53,Critical Underfunding
